date,title,artist,genre,peak_pos,last_pos,weeks,rank,change,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_sec,duration_min,loudness,valence,mode,spotify_id,spotify_link,analysis_url
9/18/10,There Goes My Baby,usher,"[u'dance pop', u'hip hop', u'hip pop', u'pop', u'pop rap', u'r&b', u'rap', u'urban contemporary']",25,40,25,50,-10,0.52,0.13,77.468,0.0892,0.175,0,4,0.626,9,281.293,4.688216667,-8.077,0.257,0,6tp0eVhr6SI7FWPJasG86O,https://embed.spotify.com/?uri=spotify:track:6tp0eVhr6SI7FWPJasG86O,https://api.spotify.com/v1/audio-analysis/6tp0eVhr6SI7FWPJasG86O
9/18/10,Alejandro,lady gaga,"[u'dance pop', u'pop', u'post-teen pop']",5,44,23,46,-2,0.888,0.331,127.05,0.0847,0.00364,0.000459,4,0.689,11,348.853,5.814216667,-5.208,0.685,0,3u2ozXPEYxdGBnTdIax1AJ,https://embed.spotify.com/?uri=spotify:track:3u2ozXPEYxdGBnTdIax1AJ,https://api.spotify.com/v1/audio-analysis/3u2ozXPEYxdGBnTdIax1AJ
9/18/10,Impossible,shontelle,"[u'dance pop', u'post-teen pop']",13,51,20,53,-2,0.64,0.118,90.015,0.0335,0.381,0,4,0.596,8,226.533,3.77555,-3.52,0.559,1,45EDI3rk0f4cAMt9f8b56R,https://embed.spotify.com/?uri=spotify:track:45EDI3rk0f4cAMt9f8b56R,https://api.spotify.com/v1/audio-analysis/45EDI3rk0f4cAMt9f8b56R
9/18/10,Ride,ciara,"[u'dance pop', u'deep pop r&b', u'hip hop', u'hip pop', u'indie r&b', u'pop', u'pop rap', u'post-teen pop', u'r&b', u'rap', u'southern hip hop', u'urban contemporary']",42,73,20,84,-11,0.719,0.0714,129.961,0.0484,0.00131,1.47E-05,4,0.694,7,274.147,4.569116667,-4.538,0.352,1,3RJclnBV8g9mvHPtSzPf7c,https://embed.spotify.com/?uri=spotify:track:3RJclnBV8g9mvHPtSzPf7c,https://api.spotify.com/v1/audio-analysis/3RJclnBV8g9mvHPtSzPf7c
9/18/10,My First Kiss,3oh!3,"[u'dance pop', u'electropowerpop', u'emo', u'modern rock', u'pop punk', u'pop rap', u'post-teen pop']",9,87,18,93,-6,0.889,0.36,138.021,0.0804,0.00564,0,4,0.682,0,192.44,3.207333333,-4.166,0.827,1,17tDv8WA8IhqE8qzuQn707,https://embed.spotify.com/?uri=spotify:track:17tDv8WA8IhqE8qzuQn707,https://api.spotify.com/v1/audio-analysis/17tDv8WA8IhqE8qzuQn707
9/18/10,Kissin U,miranda cosgrove,"[u'dance pop', u'pop', u'post-teen pop', u'viral pop']",54,78,15,86,-8,0.844,0.0717,110.012,0.0465,0.0157,0,4,0.62,3,198.48,3.308,-3.134,0.529,1,1MO6jWRxOu1FMY3bVFVOfw,https://embed.spotify.com/?uri=spotify:track:1MO6jWRxOu1FMY3bVFVOfw,https://api.spotify.com/v1/audio-analysis/1MO6jWRxOu1FMY3bVFVOfw
9/18/10,Bed Intruder Song,antoine dodson,[],89,92,3,94,-2,0.727,0.0594,152.037,0.0403,0.0345,0.871,4,0.546,7,188.684,3.144733333,-8.739,0.537,0,4RnYtFFdAX81M5g8Ft82WP,https://embed.spotify.com/?uri=spotify:track:4RnYtFFdAX81M5g8Ft82WP,https://api.spotify.com/v1/audio-analysis/4RnYtFFdAX81M5g8Ft82WP
9/11/10,Rock That Body,the black eyed peas,"[u'dance pop', u'pop', u'pop rap']",9,91,18,95,-4,0.898,0.435,124.976,0.111,0.0197,2.62E-05,4,0.713,2,268.84,4.480666667,-6.009,0.858,0,5K5LbSTVuKKe1KGMNfBgIW,https://embed.spotify.com/?uri=spotify:track:5K5LbSTVuKKe1KGMNfBgIW,https://api.spotify.com/v1/audio-analysis/5K5LbSTVuKKe1KGMNfBgIW
9/11/10,143,bobby brackins,"[u'slow game', u'west coast trap']",76,85,11,93,-8,0.758,0.0238,98.021,0.106,0.0113,0,4,0.834,11,206.813,3.446883333,-7.135,0.759,1,4DdaOUTsCqz4cLK3z92oso,https://embed.spotify.com/?uri=spotify:track:4DdaOUTsCqz4cLK3z92oso,https://api.spotify.com/v1/audio-analysis/4DdaOUTsCqz4cLK3z92oso
9/11/10,Mockingbird,rob thomas,"[u'acoustic pop', u'neo mellow', u'pop rock', u'post-grunge']",95,100,4,99,1,0.77,0.129,141.996,0.0314,0.0534,1.02E-06,4,0.571,0,240.32,4.005333333,-5.498,0.613,1,4L9J2or96xvWhQwWw09fHO,https://embed.spotify.com/?uri=spotify:track:4L9J2or96xvWhQwWw09fHO,https://api.spotify.com/v1/audio-analysis/4L9J2or96xvWhQwWw09fHO
9/11/10,F**k You!,cee lo green,[u'pop rap'],96,0,1,96,New,0.834,0.136,127.43,0.0566,0.129,0,4,0.69,0,222.933,3.71555,-5.79,0.738,1,4ycLiPVzE5KamivXrAzGFG,spotify:track:4ycLiPVzE5KamivXrAzGFG,https://api.spotify.com/v1/audio-analysis/4ycLiPVzE5KamivXrAzGFG
9/4/10,Your Love Is My Drug,ke$ha,"[u'dance pop', u'pop', u'pop rap', u'post-teen pop']",4,36,28,46,-10,0.607,0.0986,120.044,0.0897,0.0049,0,4,0.829,1,187.067,3.117783333,-3.876,0.766,1,6sePPH7boWyJDI8spzwfBJ,https://embed.spotify.com/?uri=spotify:track:6sePPH7boWyJDI8spzwfBJ,https://api.spotify.com/v1/audio-analysis/6sePPH7boWyJDI8spzwfBJ
