,Unnamed: 0,Unnamed: 0.1,year,song,artist,peak_pos,weeks_on_chart,instance,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre
2227,2227,2228,2014,G.U.Y.,Lady Gaga,76,1,1,0.616,0.919,5.0,-3.468,0.0,0.0401,0.0141,0.0,0.11699999999999999,0.5720000000000001,110.008,audio_features,4rYLpaNFzt6pkQnrCvVHUw,spotify:track:4rYLpaNFzt6pkQnrCvVHUw,https://api.spotify.com/v1/tracks/4rYLpaNFzt6pkQnrCvVHUw,https://api.spotify.com/v1/audio-analysis/4rYLpaNFzt6pkQnrCvVHUw,232667.0,4.0,"['dance pop', 'pop']"
2228,2228,2229,2000,Gd Up,Snoop Dogg Presents Tha Eastsidaz,77,14,1,,,,,,,,,,,,,,,,,,,
2229,2229,2230,2004,Gal Yuh Ah Lead,T.O.K.,94,9,1,0.6829999999999999,0.7240000000000001,0.0,-4.8389999999999995,0.0,0.282,0.275,0.0,0.065,0.691,98.711,audio_features,4ex9m6RWw8PcfAZEaktdBL,spotify:track:4ex9m6RWw8PcfAZEaktdBL,https://api.spotify.com/v1/tracks/4ex9m6RWw8PcfAZEaktdBL,https://api.spotify.com/v1/audio-analysis/4ex9m6RWw8PcfAZEaktdBL,212800.0,4.0,"['dancehall', 'old school dancehall']"
2230,2230,2231,2006,Gallery,Mario Vazquez,99,20,2,0.593,0.6509999999999999,9.0,-6.904,0.0,0.135,0.0169,0.0,0.141,0.32299999999999995,86.535,audio_features,7yVJlhAZlZ4O1jlJCkMXD6,spotify:track:7yVJlhAZlZ4O1jlJCkMXD6,https://api.spotify.com/v1/tracks/7yVJlhAZlZ4O1jlJCkMXD6,https://api.spotify.com/v1/audio-analysis/7yVJlhAZlZ4O1jlJCkMXD6,223613.0,4.0,['urban contemporary']
2231,2231,2232,2017,Galway Girl,Ed Sheeran,94,5,2,0.624,0.8759999999999999,9.0,-3.3739999999999997,1.0,0.1,0.0735,0.0,0.327,0.7809999999999999,99.943,audio_features,0afhq8XCExXpqazXczTSve,spotify:track:0afhq8XCExXpqazXczTSve,https://api.spotify.com/v1/tracks/0afhq8XCExXpqazXczTSve,https://api.spotify.com/v1/audio-analysis/0afhq8XCExXpqazXczTSve,170827.0,4.0,"['pop', 'uk pop']"
2232,2232,2233,2004,Game Over (Flip),Lil Flip,67,20,1,0.813,0.59,8.0,-8.998,1.0,0.37799999999999995,0.00106,5.07e-05,0.0809,0.602,159.961,audio_features,79lmvU7Qmc8QpXilbSk37z,spotify:track:79lmvU7Qmc8QpXilbSk37z,https://api.spotify.com/v1/tracks/79lmvU7Qmc8QpXilbSk37z,https://api.spotify.com/v1/audio-analysis/79lmvU7Qmc8QpXilbSk37z,232467.0,4.0,"['crunk', 'dirty south rap', 'gangster rap', 'houston rap', 'pop rap', 'southern hip hop', 'trap']"
2233,2233,2234,2008,Games Pain,The Game Featuring Keyshia Cole,91,7,1,0.75,0.76,6.0,-4.699,0.0,0.35600000000000004,0.0915,0.0,0.07200000000000001,0.414,96.98899999999999,audio_features,0jJNh8Ru3n4xLs3ZqHoo5E,spotify:track:0jJNh8Ru3n4xLs3ZqHoo5E,https://api.spotify.com/v1/tracks/0jJNh8Ru3n4xLs3ZqHoo5E,https://api.spotify.com/v1/audio-analysis/0jJNh8Ru3n4xLs3ZqHoo5E,261773.0,4.0,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
2234,2234,2235,2015,Games,Luke Bryan,99,5,2,0.516,0.8859999999999999,8.0,-3.3680000000000003,0.0,0.10400000000000001,0.179,0.0,0.135,0.882,157.907,audio_features,085lgcfCstjd3AjWDAt2OX,spotify:track:085lgcfCstjd3AjWDAt2OX,https://api.spotify.com/v1/tracks/085lgcfCstjd3AjWDAt2OX,https://api.spotify.com/v1/audio-analysis/085lgcfCstjd3AjWDAt2OX,176293.0,4.0,"['contemporary country', 'country', 'country road']"
2235,2235,2236,2018,Gang Gang,Migos,73,1,1,0.635,0.601,2.0,-9.837,1.0,0.14400000000000002,0.272,0.0,0.11199999999999999,0.515,180.046,audio_features,6RKkHI2fkmgZq7uQPPav8f,spotify:track:6RKkHI2fkmgZq7uQPPav8f,https://api.spotify.com/v1/tracks/6RKkHI2fkmgZq7uQPPav8f,https://api.spotify.com/v1/audio-analysis/6RKkHI2fkmgZq7uQPPav8f,181319.0,4.0,"['atl hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
2236,2236,2237,2013,Gangnam Style,PSY,64,31,1,0.736,0.9390000000000001,11.0,-2.812,0.0,0.284,0.0055,0.0,0.0905,0.7609999999999999,132.07,audio_features,03UrZgTINDqvnUMbbIMhql,spotify:track:03UrZgTINDqvnUMbbIMhql,https://api.spotify.com/v1/tracks/03UrZgTINDqvnUMbbIMhql,https://api.spotify.com/v1/audio-analysis/03UrZgTINDqvnUMbbIMhql,219493.0,4.0,"['k-hop', 'k-pop']"
